Year,County,hospital,Surgery,# of Cases,LONGITUDE,LATITUDE
2016,,Statewide,Brain,3162,,
2015,,Statewide,Brain,2111,,
2013,,Statewide,Colon,7128,,
2015,,Statewide,Bladder,677,,
2016,,Statewide,Prostate,6508,,
2019,,Statewide,Breast,30413,,
2015,,Statewide,Rectum,1698,,
2018,,Statewide,Pancreas,1089,,
2015,,Statewide,Stomach,744,,
2016,,Statewide,Liver,1662,,
2017,,Statewide,Pancreas,1097,,
2021,,Statewide,Bladder,965,,
2014,,Statewide,Liver,1298,,
2015,,Statewide,Esophagus,264,,
2013,,Statewide,Stomach,1010,,
2014,,Statewide,Esophagus,354,,
2017,,Statewide,Lung,3159,,
2017,,Statewide,Breast,28164,,
2018,,Statewide,Prostate,5332,,
2019,,Statewide,Esophagus,507,,
2016,,Statewide,Bladder,1054,,
2014,,Statewide,Rectum,2239,,
2021,,Statewide,Stomach,998,,
2016,,Statewide,Esophagus,410,,
2013,,Statewide,Liver,1159,,
2015,,Statewide,Prostate,4474,,
2021,,Statewide,Lung,3119,,
2015,,Statewide,Liver,952,,
2018,,Statewide,Colon,7640,,
2019,,Statewide,Rectum,3361,,
2019,,Statewide,Stomach,1059,,
2016,,Statewide,Pancreas,1069,,
2016,,Statewide,Rectum,3300,,
2021,,Statewide,Breast,30675,,
2013,,Statewide,Lung,3145,,
2017,,Statewide,Rectum,3284,,
2021,,Statewide,Pancreas,1072,,
2021,,Statewide,Brain,3413,,
2020,,Statewide,Prostate,3662,,
2021,,Statewide,Prostate,3268,,
2016,,Statewide,Lung,3028,,
2019,,Statewide,Brain,3399,,
2020,,Statewide,Breast,26758,,
2017,,Statewide,Brain,3268,,
2014,,Statewide,Bladder,897,,
2018,,Statewide,Stomach,969,,
2013,,Statewide,Breast,25829,,
2020,,Statewide,Brain,3313,,
2019,,Statewide,Lung,3317,,
2015,,Statewide,Colon,5456,,
2014,,Statewide,Pancreas,877,,
2013,,Statewide,Brain,2719,,
2018,,Statewide,Rectum,3323,,
2014,,Statewide,Colon,7335,,
2015,,Statewide,Lung,2508,,
2018,,Statewide,Esophagus,430,,
2018,,Statewide,Bladder,938,,
2019,,Statewide,Colon,7409,,
2014,,Statewide,Brain,2858,,
2013,,Statewide,Prostate,6145,,
2021,,Statewide,Rectum,3338,,
2017,,Statewide,Bladder,1037,,
2019,,Statewide,Bladder,966,,
2019,,Statewide,Prostate,4997,,
2016,,Statewide,Stomach,980,,
2018,,Statewide,Liver,1616,,
2020,,Statewide,Colon,6736,,
2015,,Statewide,Pancreas,656,,
2014,,Statewide,Lung,3269,,
2015,,Statewide,Breast,19914,,
2020,,Statewide,Bladder,938,,
2016,,Statewide,Breast,27495,,
2014,,Statewide,Prostate,5434,,
2021,,Statewide,Esophagus,451,,
2016,,Statewide,Colon,7623,,
2013,,Statewide,Rectum,2128,,
2021,,Statewide,Colon,7440,,
2017,,Statewide,Stomach,948,,
2020,,Statewide,Rectum,3168,,
2017,,Statewide,Colon,7525,,
2018,,Statewide,Breast,29349,,
2020,,Statewide,Esophagus,481,,
2020,,Statewide,Pancreas,1092,,
2017,,Statewide,Liver,1587,,
2014,,Statewide,Breast,25290,,
2013,,Statewide,Bladder,892,,
2018,,Statewide,Lung,3183,,
2019,,Statewide,Liver,1522,,
2014,,Statewide,Stomach,1030,,
2020,,Statewide,Liver,1380,,
2019,,Statewide,Pancreas,1124,,
2020,,Statewide,Lung,3067,,
2017,,Statewide,Prostate,6921,,
2017,,Statewide,Esophagus,471,,
2020,,Statewide,Stomach,960,,
2018,,Statewide,Brain,3363,,
2021,,Statewide,Liver,1504,,
2013,,Statewide,Esophagus,337,,
2013,,Statewide,Pancreas,819,,
2013,Alameda,Alameda Hospital,Colon,3,-122.25362,37.762953
2021,Alameda,Alameda Hospital,Colon,3,-122.253991,37.76266
2013,Alameda,Alameda Hospital,Breast,2,-122.25362,37.762953
2019,Alameda,Alameda Hospital,Colon,2,-122.253991,37.76266
2020,Alameda,Alameda Hospital,Rectum,1,-122.253991,37.76266
2016,Alameda,Alameda Hospital,Rectum,2,-122.25362,37.762953
2016,Alameda,Alameda Hospital,Breast,2,-122.25362,37.762953
2018,Alameda,Alameda Hospital,Breast,2,-122.253991,37.76266
2017,Alameda,Alameda Hospital,Colon,1,-122.25362,37.762953
2014,Alameda,Alameda Hospital,Rectum,1,-122.25362,37.762953
2017,Alameda,Alameda Hospital,Breast,2,-122.25362,37.762953
2021,Alameda,Alameda Hospital,Rectum,1,-122.253991,37.76266
2014,Alameda,Alameda Hospital,Breast,3,-122.25362,37.762953
2015,Alameda,Alameda Hospital,Breast,3,-122.25362,37.762953
2018,Alameda,Alameda Hospital,Colon,3,-122.253991,37.76266
2021,Alameda,Alameda Hospital,Bladder,1,-122.253991,37.76266
2018,Alameda,Alameda Hospital,Stomach,1,-122.253991,37.76266
2015,Alameda,Alameda Hospital,Rectum,1,-122.25362,37.762953
2014,Alameda,Alameda Hospital,Colon,2,-122.25362,37.762953
2016,Alameda,Alameda Hospital,Colon,4,-122.25362,37.762953
2013,Alameda,Alameda Hospital,Stomach,1,-122.25362,37.762953
2015,Alameda,Alameda Hospital,Colon,4,-122.25362,37.762953
2021,Alameda,Alameda Hospital,Liver,1,-122.253991,37.76266
2017,Alameda,Alameda Hospital,Rectum,2,-122.25362,37.762953
2020,Alameda,Alameda Hospital,Prostate,1,-122.253991,37.76266
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Colon,12,-122.25784,37.85633
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Pancreas,1,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Brain,10,-122.25784,37.85633
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Breast,81,-122.25743,37.85645
2021,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Breast,73,-122.25743,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Liver,2,-122.25784,37.85633
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Rectum,3,-122.25743,37.85645
2014,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Brain,7,-122.25784,37.85633
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Prostate,3,-122.25784,37.85633
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Pancreas,2,-122.25743,37.85645
2015,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Stomach,2,-122.25784,37.85633
2014,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Breast,80,-122.25784,37.85633
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Prostate,3,-122.25784,37.85633
2014,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Stomach,2,-122.25784,37.85633
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Colon,9,-122.25784,37.85633
2014,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Colon,12,-122.25784,37.85633
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Prostate,2,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Pancreas,1,-122.25784,37.85633
2014,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Lung,4,-122.25784,37.85633
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Brain,7,-122.25784,37.85633
2015,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Colon,8,-122.25784,37.85633
2021,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Colon,8,-122.25743,37.85645
2021,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Brain,11,-122.25743,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Rectum,1,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Colon,15,-122.25784,37.85633
2021,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Liver,1,-122.25743,37.85645
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Prostate,4,-122.25784,37.85633
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Esophagus,1,-122.25784,37.85633
2015,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Prostate,3,-122.25784,37.85633
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Colon,7,-122.25743,37.85645
2015,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Pancreas,1,-122.25784,37.85633
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Brain,6,-122.25743,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Pancreas,2,-122.25784,37.85633
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Liver,1,-122.25743,37.85645
2015,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Breast,73,-122.25784,37.85633
2014,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Rectum,2,-122.25784,37.85633
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Stomach,3,-122.25784,37.85633
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Breast,75,-122.25784,37.85633
2021,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Stomach,2,-122.25743,37.85645
